Turno;Curso;Unidade de execução;Turmas;Inscritos;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;slots;Dia da Semana;Inicio;Fim;Características da sala pedida para a aula;Sala;Lotação;Turno
00010T01;"METI, MEI";Segurança em Redes e Sistemas de Informação;"MEI-SIGCB1, MEI-SIGCA1";56;;;6;Seg;;;Sala Aulas Mestrado;;;0
00011TP01;MCTRL;Relações de Trabalho e Sindicalismo;MCTRLA1;24;;;4;Seg;;;Sala Aulas Mestrado;;;0
00013TP01;MCTRL;Economia do Trabalho;MCTRLA1;22;;;4;Ter;;;Sala Aulas Mestrado;;;0
00023TP01;MEA;Antropologia de África;"MEAPRIA1, MEAGDCA1";25;;;9;Ter;;;Sala Aulas Mestrado;;;0
00024TP01;MEA;Economia de África;"MEAPRIA1, MEAGDCA1";15;;;9;Seg;;;Sala Aulas Mestrado;;;0
00026TP01;MEA;Teorias e Políticas do Desenvolvimento;"MEAPRIA1, MEAGDCA1";15;;;9;Sex;;;Sala Aulas Mestrado;;;0
00029TP01;MS;Família e Gerações;"MSocA1, MSA1";8;;;4;Qui;;;Sala Aulas Mestrado;;;0
00030TP01;"LSS-PL, LS, LS-PL";Sociologia do Género;"SS-PL-C2, SS-PL-C1, S-PL-C2, S-PL-C1, SC3, SC2, SC1";19;;;6;Qua;;;Sala de Aulas normal;;;0
00050TP01;MSS;Fundamentos do Serviço Social na Contemporaneidade;MSSA1;43;;;4;Seg;;;Sala Aulas Mestrado;;;0
00051TP01;MSS;Direitos Humanos e Serviço Social;MSSA1;42;;;4;Ter;;;Sala Aulas Mestrado;;;0
00064S01;DS;Teorias Sociológicas Clássicas: Grandes Obras;DSA1;8;;;4;Seg;;;Sala Aulas Mestrado;;;0
00065S01;DS;Metodologias Extensivas: Pesquisas Sociológicas Exemplares;DSA1;8;;;4;Seg;;;Sala Aulas Mestrado;;;0
00076-2TP01;"LCP, LS";Estado e Políticas Públicas;"CPC1, SC3, SC2, SC1";48;;;6;Ter;;;Sala NEE;;;1
00092S01;MA;Seminário: Migrações Contemporâneas;MAGMMA1;22;;;4;Qui;;;Sala Aulas Mestrado;;;0
00093TP01;MA;"Teoria Antropológica: Objetivismo, Relativismo e Verdade";MAGMMA1;22;;;4;Qua;;;Sala Aulas Mestrado;;;0
00096S01;DAnt;Antropologia Contemporânea;DAA1;9;;;4;Ter;;;Sala Aulas Mestrado;;;0
00099S01;DAnt;Métodos de Pesquisa em Antropologia;DAA1;9;;;4;Seg;;;Sala Aulas Mestrado;;;0
00100S01;DAnt;Perspectivas Teóricas em Antropologia;DAA1;9;;;9;Ter;;;Sala Aulas Mestrado;;;0
00101S01;DAnt;Construção da Pesquisa Antropológica;DAA1;9;;;4;Seg;;;Sala Aulas Mestrado;;;0
00104-1TPLTP01;"PGIAO, MIASIC";Modelação de Sistemas de Informação;PGIAOA1;12;;;9;Seg;;;Laboratório de Informática;;;0
00106TTP01;PGIAO;Gestão Estratégica e Sistemas de Informação Organizacional;PGIAOA1;13;;;9;Qui;;;Laboratório de Informática;;;0
00120-1PL01;MCE;Bases Biológicas das Emoções;MCEA1;13;;;8;Qui;;;Laboratório de Informática;;;0
00120-1PL01;MCE;Bases Biológicas das Emoções;MCEA1;13;;;8;Sex;;;Laboratório de Informática;;;0
00121TP02;MCE;Cognição e Emoção;MCEA1;14;;;8;Qua;;;Sala Aulas Mestrado;;;0
00153PL02;MPSS;Atitudes e Comportamentos de Saúde;MPSSA1;19;;;8;Sex;;;Sala Aulas Mestrado;;;0
00153TP04;MPSS;Atitudes e Comportamentos de Saúde;MPSSA1;19;;;8;Seg;;;Sala Aulas Mestrado;;;0
00192-1S02;"DEc, ME";Seminário de Investigação em Economia;MEB1;16;;;4;Qua;;;Sala Aulas Mestrado;;;1
00196-1TP01;"MEPP, MEU";"Globalização, Território e Políticas de Competitividade";MEPPA1;21;;;4;Qui;;;Sala Aulas Mestrado;;;0
00198-1TP02;"MEPP, MED";Estatística e Análise de Dados;"MEDDSB1, MEDDLDMB1, MEPPA1";12;;;4;Qui;;;Laboratório de Informática;;;0
00222-2TP01;"LE, LFC, LGM";Economia Financeira;"GMKC1, FCC2, FCC1, EC2, EC1";49;;;3;Ter;;;Sala de Aulas normal;;;1
00222-2TP01;"LE, LFC, LGM";Economia Financeira;"GMKC1, FCC2, FCC1, EC2, EC1";49;;;3;Qui;;;Sala de Aulas normal;;;1
00230S01;DHESD;Seminário de 3º Ciclo de Defesa e Segurança I;DHESDA1;10;;;4;Qua;;;Não necessita de sala;;;0
00232S01;DHESD;Seminário de 3º Ciclo de História I;DHESDA1;15;;;4;Qui;;;Não necessita de sala;;;0
00234S01;DHESD;Seminário de 3º Ciclo de Relações Internacionais I;DHESDA1;10;;;4;Qui;;;Sala Aulas Mestrado;;;0
00238S01;DHMC;Seminário de Projecto em História Moderna e Contemporânea;DHMCA1;6;;;4;Sáb;;;Sala Aulas Mestrado;;;1
00248T01;LE;Introdução à Ciência Económica;EA1;31;;;3;Seg;;;Sala de Aulas normal;;;1
00248T02;LE;Introdução à Ciência Económica;EA2;29;;;3;Seg;;;Sala de Aulas normal;;;1
00248T03;LE;Introdução à Ciência Económica;EA3;32;;;3;Qua;;;Sala de Aulas normal;;;1
00248TP04;LE;Introdução à Ciência Económica;EA2;29;;;3;Ter;;;Sala de Aulas normal;;;1
00248TP04;LE;Introdução à Ciência Económica;EA2;29;;;3;Sex;;;Sala de Aulas normal;;;1
00248TP05;LE;Introdução à Ciência Económica;EA3;32;;;3;Ter;;;Sala de Aulas normal;;;1
00248TP05;LE;Introdução à Ciência Económica;EA3;32;;;3;Sex;;;Sala de Aulas normal;;;1
00248TP06;LE;Introdução à Ciência Económica;EA1;31;;;3;Ter;;;Sala de Aulas normal;;;1
00248TP06;LE;Introdução à Ciência Económica;EA1;31;;;3;Sex;;;Sala de Aulas normal;;;1
00249TP01;LE;Estudos em Economia Aplicada;EA1;31;;;3;Ter;;;Sala de Aulas normal;;;1
00249TP01;LE;Estudos em Economia Aplicada;EA1;31;;;3;Qui;;;Sala de Aulas normal;;;1
00249TP01;LE;Estudos em Economia Aplicada;EA1;31;;;3;Sex;;;Sala de Aulas normal;;;1
00249TP02;LE;Estudos em Economia Aplicada;EA2;32;;;3;Ter;;;Sala de Aulas normal;;;1
00249TP02;LE;Estudos em Economia Aplicada;EA2;32;;;3;Qui;;;Sala de Aulas normal;;;1
00249TP02;LE;Estudos em Economia Aplicada;EA2;32;;;3;Sex;;;Sala de Aulas normal;;;1
00249TP03;LE;Estudos em Economia Aplicada;EA3;34;;;3;Qua;;;Sala de Aulas normal;;;1
00249TP03;LE;Estudos em Economia Aplicada;EA3;34;;;3;Qui;;;Sala de Aulas normal;;;1
00249TP03;LE;Estudos em Economia Aplicada;EA3;34;;;3;Sex;;;Sala de Aulas normal;;;1
00250S01;MCTRL;Dissertação em Ciências do Trabalho e Relações Laborais;MCTRLB1;9;;;4;Qua;;;Sala Aulas Mestrado;;;0
00276-1TP01;LIGE;Sistemas de Informação em Estruturas Organizacionais;"IA2, IA1";42;;;3;Ter;;;Sala de Aulas normal;;;1
00276-1TP01;LIGE;Sistemas de Informação em Estruturas Organizacionais;"IA2, IA1";42;;;3;Qui;;;Laboratório de Informática;;;1
00276-1TP01;LIGE;Sistemas de Informação em Estruturas Organizacionais;"IA2, IA1";42;;;3;Sex;;;Laboratório de Informática;;;1
00276-1TP02;LIGE;Sistemas de Informação em Estruturas Organizacionais;"IA4, IA3";33;;;3;Ter;;;Sala de Aulas normal;;;1
00276-1TP02;LIGE;Sistemas de Informação em Estruturas Organizacionais;"IA4, IA3";33;;;3;Qui;;;Laboratório de Informática;;;1
00276-1TP02;LIGE;Sistemas de Informação em Estruturas Organizacionais;"IA4, IA3";33;;;3;Sex;;;Laboratório de Informática;;;1
00276TP01;LIGE-PL;Sistemas de Informação em Estruturas Organizacionais;"I-PLA2, I-PLA1";49;;;6;Ter;;;Laboratório de Informática;;;0
00276TP01;LIGE-PL;Sistemas de Informação em Estruturas Organizacionais;"I-PLA2, I-PLA1";49;;;3;Sex;;;Laboratório de Informática;;;0
00277TP02;LHMC;Sistemas de Informação: Bibliotecas e Arquivos;HMCA1;45;;;6;Qua;;;Sala de Aulas normal;;;1
00298S01;MEPP;Dissertação em Economia e Políticas Públicas;MEPPB1;16;;;8;Sex;;;Sala Aulas Mestrado;;;0
00338TP01;PGSRL;"Cidadania, Participação e Democracia";PG-SRLA1;17;;;8;Sex;;;Sala Aulas Mestrado;;;0
00353S01;DAnt;Tese em Antropologia;"DAC1, DAB1";4;;;9;Seg;;;Sala Aulas Mestrado;;;0
00416TP03;"MEMF, MED";Macroeconometria I;"MEDDLDMB1, MEDDLDMA1, MEMFA1";51;;;4;Ter;;;Laboratório de Informática;;;0
00424TP01;MS;Migrações Internacionais Contemporâneas;"MSocA1, MSA1";8;;;4;Seg;;;Sala Aulas Mestrado;;;0
00437TP01;LSS-PL;Direito Social;"SS-PL-A2, SS-PL-A1";63;;;6;Qua;;;Sala de Aulas normal;;;0
00438TP01;LSS-PL;Teoria e História do Serviço Social;"SS-PL-A2, SS-PL-A1";58;;;6;Sex;;;Sala de Aulas normal;;;1
00446TP01;LSS-PL;"Serviço Social com Crianças, Jovens e Famílias";"SS-PL-B2, SS-PL-B1";46;;;6;Sex;;;Sala de Aulas normal;;;1
00448TP01;LSS-PL;"Organização, Gestão, Planeamento e Avaliação em Serviço Social";"SS-PL-B2, SS-PL-B1";45;;;2;Seg;;;Sala de Aulas normal;;;0
00448TP01;LSS-PL;"Organização, Gestão, Planeamento e Avaliação em Serviço Social";"SS-PL-B2, SS-PL-B1";45;;;6;Qua;;;Sala de Aulas normal;;;1
00463-1T01;"DATMC, MATMC, MEU";Cultura Metropolitana Contemporânea;"DATMCA1, MATMCA1";18;;;8;Qua;;;Sala Aulas Mestrado;;;0
00468PL01;"DATMC, MATMC";Projecto de Investigação em Arquitectura dos Territórios Metropolitanos Contemporâneos;"DATMCA1, MATMCA1";12;;;8;Ter;;;Sala Aulas Mestrado;;;0
00488PL01;LCP;Laboratório de Elaboração de Projectos em Ciência Política;CPC1;38;;;9;Sex;;;Laboratório de Informática;;;1
00489TP01;LGIL;Gestão Integrada da Qualidade;GILC1;43;;;6;Seg;;;Sala de Aulas normal;;;1
00489TP01;LGIL;Gestão Integrada da Qualidade;GILC1;43;;;3;Ter;;;Sala de Aulas normal;;;1
00500TP01;LFC;Análise e Modelos de Dados Financeiros;FCC1;46;;;3;Seg;;;Laboratório de Informática;;;1
00500TP01;LFC;Análise e Modelos de Dados Financeiros;FCC1;46;;;3;Qui;;;Sala de Aulas normal;;;1
00504TP01;MES;Planeamento e Avaliação de Educação e Formação;MESA1;26;;;4;Qui;;;Sala Aulas Mestrado;;;0
00505-1TP01;"MAE, MES, MS";Educação ao Longo da Vida;"MAEA1, MSA1, MESA1";26;;;4;Sex;;;Sala Aulas Mestrado;;;0
00506TP01;MCTRL;Direito do Trabalho e da Segurança Social;MCTRLA1;20;;;4;Qua;;;Sala Aulas Mestrado;;;0
00511-2TP01;"MAE, MPP, MS";Políticas de Educação;"MPPA1, MAEA1";22;;;4;Qui;;;Sala Aulas Mestrado;;;0
00520TP01;MCP;Economia e Políticas Públicas;MCPA1;23;;;4;Ter;;;Sala Aulas Mestrado;;;0
00525TP01;MCP;Direito e Cidadania;MCPA1;20;;;4;Qua;;;Sala Aulas Mestrado;;;0
00527TP01;MCP;Governação e Globalização;MCPA1;25;;;4;Qua;;;Sala Aulas Mestrado;;;0
