Turno;Curso;Unidade de execução;Turma;Inscritos no turno;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;Dia da Semana;Início;Fim;Slots;Características pedidas;Sala da aula;Lotação
00010T01;METI, MEI;Segurança em Redes e Sistemas de Informação;MEI-SIGCB1, MEI-SIGCA1;56;;;Seg;18:00:00;19:30:00;3;Sala Aulas Mestrado;;
00010T01;METI, MEI;Segurança em Redes e Sistemas de Informação;MEI-SIGCB1, MEI-SIGCA1;56;;;Ter;18:00:00;19:30:00;3;Sala Aulas Mestrado;;
00011TP01;MCTRL;Relações de Trabalho e Sindicalismo;MCTRLA1;24;;;Seg;20:30:00;22:30:00;4;Sala Aulas Mestrado;;
00013TP01;MCTRL;Economia do Trabalho;MCTRLA1;22;;;Ter;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00023TP01;MEA;Antropologia de África;MEAPRIA1, MEAGDCA1;25;;;Ter;20:30:00;22:30:00;4;Sala Aulas Mestrado;;
00023TP01;MEA;Antropologia de África;MEAPRIA1, MEAGDCA1;25;;;Ter;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00024TP01;MEA;Economia de África;MEAPRIA1, MEAGDCA1;15;;;Seg;20:30:00;22:30:00;4;Sala Aulas Mestrado;;
00024TP01;MEA;Economia de África;MEAPRIA1, MEAGDCA1;15;;;Seg;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00026TP01;MEA;Teorias e Políticas do Desenvolvimento;MEAPRIA1, MEAGDCA1;15;;;Sex;20:30:00;22:30:00;4;Sala Aulas Mestrado;;
00026TP01;MEA;Teorias e Políticas do Desenvolvimento;MEAPRIA1, MEAGDCA1;15;;;Sex;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00029TP01;MS;Família e Gerações;MSocA1, MSA1;8;;;Qui;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00030TP01;LSS-PL, LS, LS-PL;Sociologia do Género;SS-PL-C2, SS-PL-C1, S-PL-C2, S-PL-C1, SC3, SC2, SC1;19;;;Qua;19:30:00;21:00:00;3;Sala de Aulas normal;;
00030TP01;LSS-PL, LS, LS-PL;Sociologia do Género;SS-PL-C2, SS-PL-C1, S-PL-C2, S-PL-C1, SC3, SC2, SC1;19;;;Qua;18:00:00;19:30:00;3;Sala de Aulas normal;;
00050TP01;MSS;Fundamentos do Serviço Social na Contemporaneidade;MSSA1;43;;;Seg;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00051TP01;MSS;Direitos Humanos e Serviço Social;MSSA1;42;;;Ter;20:30:00;22:30:00;4;Sala Aulas Mestrado;;
00064S01;DS;Teorias Sociológicas Clássicas: Grandes Obras;DSA1;8;;;Seg;20:30:00;22:30:00;4;Sala Aulas Mestrado;;
00065S01;DS;Metodologias Extensivas: Pesquisas Sociológicas Exemplares;DSA1;8;;;Seg;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00076-2TP01;LCP, LS;Estado e Políticas Públicas;CPC1, SC3, SC2, SC1;48;;;Ter;14:30:00;16:00:00;3;Sala NEE;;
00076-2TP01;LCP, LS;Estado e Políticas Públicas;CPC1, SC3, SC2, SC1;48;;;Ter;13:00:00;14:30:00;3;Sala NEE;;
00092S01;MA;Seminário: Migrações Contemporâneas;MAGMMA1;22;;;Qui;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00093TP01;MA;Teoria Antropológica: Objetivismo, Relativismo e Verdade;MAGMMA1;22;;;Qua;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00096S01;DAnt;Antropologia Contemporânea;DAA1;9;;;Ter;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00099S01;DAnt;Métodos de Pesquisa em Antropologia;DAA1;9;;;Seg;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00100S01;DAnt;Perspectivas Teóricas em Antropologia;DAA1;9;;;Ter;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00100S01;DAnt;Perspectivas Teóricas em Antropologia;DAA1;9;;;Ter;20:30:00;22:30:00;4;Sala Aulas Mestrado;;
00101S01;DAnt;Construção da Pesquisa Antropológica;DAA1;9;;;Seg;20:30:00;22:30:00;4;Sala Aulas Mestrado;;
00104-1TPLTP01;PGIAO, MIASIC;Modelação de Sistemas de Informação;PGIAOA1;12;;;Seg;20:30:00;22:30:00;4;Laboratório de Informática;;
00104-1TPLTP01;PGIAO, MIASIC;Modelação de Sistemas de Informação;PGIAOA1;12;;;Qua;18:00:00;20:00:00;4;Laboratório de Informática;;
00106TTP01;PGIAO;Gestão Estratégica e Sistemas de Informação Organizacional;PGIAOA1;13;;;Qui;20:30:00;22:30:00;4;Laboratório de Informática;;
00106TTP01;PGIAO;Gestão Estratégica e Sistemas de Informação Organizacional;PGIAOA1;13;;;Qui;18:00:00;20:00:00;4;Laboratório de Informática;;
00120-1PL01;MCE;Bases Biológicas das Emoções;MCEA1;13;;;Qui;20:00:00;22:00:00;4;Laboratório de Informática;;
00120-1PL01;MCE;Bases Biológicas das Emoções;MCEA1;13;;;Qui;18:00:00;20:00:00;4;Laboratório de Informática;;
00120-1PL01;MCE;Bases Biológicas das Emoções;MCEA1;13;;;Sex;20:00:00;22:00:00;4;Laboratório de Informática;;
00120-1PL01;MCE;Bases Biológicas das Emoções;MCEA1;13;;;Sex;18:00:00;20:00:00;4;Laboratório de Informática;;
00121TP02;MCE;Cognição e Emoção;MCEA1;14;;;Qua;20:00:00;22:00:00;4;Sala Aulas Mestrado;;
00121TP02;MCE;Cognição e Emoção;MCEA1;14;;;Qua;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00153PL02;MPSS;Atitudes e Comportamentos de Saúde;MPSSA1;19;;;Sex;20:00:00;22:00:00;4;Sala Aulas Mestrado;;
00153PL02;MPSS;Atitudes e Comportamentos de Saúde;MPSSA1;19;;;Sex;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00153TP04;MPSS;Atitudes e Comportamentos de Saúde;MPSSA1;19;;;Seg;20:00:00;22:00:00;4;Sala Aulas Mestrado;;
00153TP04;MPSS;Atitudes e Comportamentos de Saúde;MPSSA1;19;;;Seg;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00192-1S02;DEc, ME;Seminário de Investigação em Economia;MEB1;16;;;Qua;16:00:00;18:00:00;4;Sala Aulas Mestrado;;
00196-1TP01;MEPP, MEU;Globalização, Território e Políticas de Competitividade;MEPPA1;21;;;Qui;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00198-1TP02;MEPP, MED;Estatística e Análise de Dados;MEDDSB1, MEDDLDMB1, MEPPA1;12;;;Qui;20:00:00;22:00:00;4;Laboratório de Informática;;
00222-2TP01;LE, LFC, LGM;Economia Financeira;GMKC1, FCC2, FCC1, EC2, EC1;49;;;Ter;09:30:00;11:00:00;3;Sala de Aulas normal;;
00222-2TP01;LE, LFC, LGM;Economia Financeira;GMKC1, FCC2, FCC1, EC2, EC1;49;;;Qui;09:30:00;11:00:00;3;Sala de Aulas normal;;
00230S01;DHESD;Seminário de 3º Ciclo de Defesa e Segurança I;DHESDA1;10;;;Qua;20:30:00;22:30:00;4;0;;
00232S01;DHESD;Seminário de 3º Ciclo de História I;DHESDA1;15;;;Qui;20:30:00;22:30:00;4;0;;
00234S01;DHESD;Seminário de 3º Ciclo de Relações Internacionais I;DHESDA1;10;;;Qui;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00238S01;DHMC;Seminário de Projecto em História Moderna e Contemporânea;DHMCA1;6;;;Sáb;10:00:00;12:00:00;4;Sala Aulas Mestrado;;
00248T01;LE;Introdução à Ciência Económica;EA1;31;;;Seg;11:00:00;12:30:00;3;Sala de Aulas normal;;
00248T02;LE;Introdução à Ciência Económica;EA2;29;;;Seg;11:00:00;12:30:00;3;Sala de Aulas normal;;
00248T03;LE;Introdução à Ciência Económica;EA3;32;;;Qua;08:00:00;09:30:00;3;Sala de Aulas normal;;
00248TP04;LE;Introdução à Ciência Económica;EA2;29;;;Ter;08:00:00;09:30:00;3;Sala de Aulas normal;;
00248TP04;LE;Introdução à Ciência Económica;EA2;29;;;Sex;08:00:00;09:30:00;3;Sala de Aulas normal;;
00248TP05;LE;Introdução à Ciência Económica;EA3;32;;;Ter;09:30:00;11:00:00;3;Sala de Aulas normal;;
00248TP05;LE;Introdução à Ciência Económica;EA3;32;;;Sex;09:30:00;11:00:00;3;Sala de Aulas normal;;
00248TP06;LE;Introdução à Ciência Económica;EA1;31;;;Ter;11:00:00;12:30:00;3;Sala de Aulas normal;;
00248TP06;LE;Introdução à Ciência Económica;EA1;31;;;Sex;11:00:00;12:30:00;3;Sala de Aulas normal;;
00249TP01;LE;Estudos em Economia Aplicada;EA1;31;;;Ter;09:30:00;11:00:00;3;Sala de Aulas normal;;
00249TP01;LE;Estudos em Economia Aplicada;EA1;31;;;Qui;09:30:00;11:00:00;3;Sala de Aulas normal;;
00249TP01;LE;Estudos em Economia Aplicada;EA1;31;;;Sex;08:00:00;09:30:00;3;Sala de Aulas normal;;
00249TP02;LE;Estudos em Economia Aplicada;EA2;32;;;Ter;11:00:00;12:30:00;3;Sala de Aulas normal;;
00249TP02;LE;Estudos em Economia Aplicada;EA2;32;;;Qui;08:00:00;09:30:00;3;Sala de Aulas normal;;
00249TP02;LE;Estudos em Economia Aplicada;EA2;32;;;Sex;09:30:00;11:00:00;3;Sala de Aulas normal;;
00249TP03;LE;Estudos em Economia Aplicada;EA3;34;;;Qua;09:30:00;11:00:00;3;Sala de Aulas normal;;
00249TP03;LE;Estudos em Economia Aplicada;EA3;34;;;Qui;11:00:00;12:30:00;3;Sala de Aulas normal;;
00249TP03;LE;Estudos em Economia Aplicada;EA3;34;;;Sex;11:00:00;12:30:00;3;Sala de Aulas normal;;
00250S01;MCTRL;Dissertação em Ciências do Trabalho e Relações Laborais;MCTRLB1;9;;;Qua;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00276-1TP01;LIGE;Sistemas de Informação em Estruturas Organizacionais;IA2, IA1;42;;;Ter;13:00:00;14:30:00;3;Sala de Aulas normal;;
00276-1TP01;LIGE;Sistemas de Informação em Estruturas Organizacionais;IA2, IA1;42;;;Qui;16:00:00;17:30:00;3;Laboratório de Informática;;
00276-1TP01;LIGE;Sistemas de Informação em Estruturas Organizacionais;IA2, IA1;42;;;Sex;16:00:00;17:30:00;3;Laboratório de Informática;;
00276-1TP02;LIGE;Sistemas de Informação em Estruturas Organizacionais;IA4, IA3;33;;;Ter;14:30:00;16:00:00;3;Sala de Aulas normal;;
00276-1TP02;LIGE;Sistemas de Informação em Estruturas Organizacionais;IA4, IA3;33;;;Qui;13:00:00;14:30:00;3;Laboratório de Informática;;
00276-1TP02;LIGE;Sistemas de Informação em Estruturas Organizacionais;IA4, IA3;33;;;Sex;14:30:00;16:00:00;3;Laboratório de Informática;;
00276TP01;LIGE-PL;Sistemas de Informação em Estruturas Organizacionais;I-PLA2, I-PLA1;49;;;Ter;21:00:00;22:30:00;3;Laboratório de Informática;;
00276TP01;LIGE-PL;Sistemas de Informação em Estruturas Organizacionais;I-PLA2, I-PLA1;49;;;Ter;19:30:00;21:00:00;3;Sala de Aulas normal;;
00276TP01;LIGE-PL;Sistemas de Informação em Estruturas Organizacionais;I-PLA2, I-PLA1;49;;;Sex;18:00:00;19:30:00;3;Laboratório de Informática;;
00277TP02;LHMC;Sistemas de Informação: Bibliotecas e Arquivos;HMCA1;45;;;Qua;16:00:00;17:30:00;3;Sala de Aulas normal;;
00277TP02;LHMC;Sistemas de Informação: Bibliotecas e Arquivos;HMCA1;45;;;Qua;14:30:00;16:00:00;3;Sala de Aulas normal;;
00298S01;MEPP;Dissertação em Economia e Políticas Públicas;MEPPB1;16;;;Sex;20:00:00;22:00:00;4;Sala Aulas Mestrado;;
00298S01;MEPP;Dissertação em Economia e Políticas Públicas;MEPPB1;16;;;Sex;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00338TP01;PGSRL;Cidadania, Participação e Democracia;PG-SRLA1;17;;;Sex;20:30:00;22:30:00;4;Sala Aulas Mestrado;;
00338TP01;PGSRL;Cidadania, Participação e Democracia;PG-SRLA1;17;;;Sex;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00353S01;DAnt;Tese em Antropologia;DAC1, DAB1;4;;;Seg;20:30:00;22:30:00;4;Sala Aulas Mestrado;;
00353S01;DAnt;Tese em Antropologia;DAC1, DAB1;4;;;Seg;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
00416TP03;MEMF, MED;Macroeconometria I;MEDDLDMB1, MEDDLDMA1, MEMFA1;51;;;Ter;20:00:00;22:00:00;4;Laboratório de Informática;;
